gene_name,multi_label,binary_label,binary_confidence,file_name
2020_QHH13-W1_bin.131.purify_k141_384058_3,other,defense,0.9992809891700745,2020_QHH13-W1_bin.131.purify_predictions.csv
2019_bqzb-3_bin.20.purify_k141_352613_4,other,defense,0.9996060729026794,2019_bqzb-3_bin.20.purify_predictions.csv
2019_bqzb-3_bin.20.purify_k141_352613_5,other,defense,0.9999829530715942,2019_bqzb-3_bin.20.purify_predictions.csv
2020_QHH13-W1_bin.35.purify_k141_341714_1,other,defense,0.9951933026313782,2020_QHH13-W1_bin.35.purify_predictions.csv
2020_QHH13-W1_bin.35.purify_k141_752626_4,other,defense,0.998288094997406,2020_QHH13-W1_bin.35.purify_predictions.csv
2020_QHH13-W1_bin.35.purify_k141_762255_2,other,defense,0.9980504512786865,2020_QHH13-W1_bin.35.purify_predictions.csv
2020_QHH13-W1_bin.35.purify_k141_1318015_4,other,defense,0.995635449886322,2020_QHH13-W1_bin.35.purify_predictions.csv
2020_QHH13-W1_bin.35.purify_k141_1603456_1,other,defense,0.9908635020256042,2020_QHH13-W1_bin.35.purify_predictions.csv
2020_QHH13-W1_bin.26.purify_k141_320355_4,other,defense,0.9999426603317261,2020_QHH13-W1_bin.26.purify_predictions.csv
2020_QHH13-W1_bin.26.purify_k141_335651_2,other,defense,0.9928070306777954,2020_QHH13-W1_bin.26.purify_predictions.csv
2020_QHH13-W1_bin.26.purify_k141_1447166_7,other,defense,0.993301510810852,2020_QHH13-W1_bin.26.purify_predictions.csv
2020_QHH13-W1_bin.27.purify_k141_356801_1,other,defense,0.9999957084655762,2020_QHH13-W1_bin.27.purify_predictions.csv
2020_QHH13-W1_bin.27.purify_k141_574836_2,other,defense,0.9999581575393677,2020_QHH13-W1_bin.27.purify_predictions.csv
2020_QHH13-W1_bin.27.purify_k141_609328_1,other,defense,0.9998842477798462,2020_QHH13-W1_bin.27.purify_predictions.csv
2020_QHH13-W1_bin.27.purify_k141_652647_3,other,defense,0.9944847226142883,2020_QHH13-W1_bin.27.purify_predictions.csv
2020_QHH13-W1_bin.27.purify_k141_1198790_12,other,defense,0.9999864101409912,2020_QHH13-W1_bin.27.purify_predictions.csv
2020_QHH13-W1_bin.27.purify_k141_1605462_7,other,defense,0.9999922513961792,2020_QHH13-W1_bin.27.purify_predictions.csv
2019_bqzb-1_bin.14.purify_k141_87127_4,other,defense,0.9999499320983887,2019_bqzb-1_bin.14.purify_predictions.csv
2019_bqzb-1_bin.14.purify_k141_442979_1,other,defense,0.998615026473999,2019_bqzb-1_bin.14.purify_predictions.csv
2019_bqzb-3_bin.13.purify_k141_24254_1,other,defense,0.9994651675224304,2019_bqzb-3_bin.13.purify_predictions.csv
2019_bqzb-3_bin.13.purify_k141_220141_3,other,defense,0.9998804330825806,2019_bqzb-3_bin.13.purify_predictions.csv
2019_bqzb-3_bin.13.purify_k141_388466_2,other,defense,0.9999655485153198,2019_bqzb-3_bin.13.purify_predictions.csv
2020_QHH13-W1_bin.32.purify_k141_203086_1,other,defense,0.9999979734420776,2020_QHH13-W1_bin.32.purify_predictions.csv
2020_QHH13-W1_bin.32.purify_k141_219928_3,other,defense,0.9999980926513672,2020_QHH13-W1_bin.32.purify_predictions.csv
2020_QHH13-W1_bin.32.purify_k141_350796_1,other,defense,0.9989528656005859,2020_QHH13-W1_bin.32.purify_predictions.csv
2020_QHH13-W1_bin.32.purify_k141_485430_3,other,defense,0.9999908208847046,2020_QHH13-W1_bin.32.purify_predictions.csv
2019_bqzb-1_bin.10.purify_k141_226814_4,other,defense,0.9989087581634521,2019_bqzb-1_bin.10.purify_predictions.csv
2019_bqzb-1_bin.10.purify_k141_226814_5,other,defense,0.999982476234436,2019_bqzb-1_bin.10.purify_predictions.csv
2019_bqzb-1_bin.10.purify_k141_261249_3,other,defense,0.9995131492614746,2019_bqzb-1_bin.10.purify_predictions.csv
2019_bqzb-1_bin.10.purify_k141_303745_5,other,defense,0.9933337569236755,2019_bqzb-1_bin.10.purify_predictions.csv
2020_QHH13-W1_bin.132.purify_k141_586507_7,other,defense,0.9999910593032837,2020_QHH13-W1_bin.132.purify_predictions.csv
2020_QHH13-W1_bin.132.purify_k141_678044_1,other,defense,0.9999662637710571,2020_QHH13-W1_bin.132.purify_predictions.csv
2020_QHH13-W1_bin.132.purify_k141_678044_2,other,defense,0.9998437166213989,2020_QHH13-W1_bin.132.purify_predictions.csv
2019_bqzb-2_bin.37.purify_k141_10657_4,other,defense,0.9999831914901733,2019_bqzb-2_bin.37.purify_predictions.csv
2019_bqzb-2_bin.43.purify_k141_196810_7,other,defense,0.9999606609344482,2019_bqzb-2_bin.43.purify_predictions.csv
2019_bqzb-1_bin.13.purify_k141_189690_14,other,defense,0.9999903440475464,2019_bqzb-1_bin.13.purify_predictions.csv
2019_bqzb-1_bin.13.purify_k141_313540_42,other,defense,0.9993025064468384,2019_bqzb-1_bin.13.purify_predictions.csv
2019_bqzb-1_bin.13.purify_k141_334633_13,other,defense,0.9999982118606567,2019_bqzb-1_bin.13.purify_predictions.csv
2019_bqzb-1_bin.13.purify_k141_441399_17,other,defense,0.99996018409729,2019_bqzb-1_bin.13.purify_predictions.csv
2019_bqzb-2_bin.41.purify_k141_236995_1,other,defense,0.9999405145645142,2019_bqzb-2_bin.41.purify_predictions.csv
2020_QHH13-W1_bin.137.purify_k141_175840_2,other,defense,0.9995235204696655,2020_QHH13-W1_bin.137.purify_predictions.csv
2020_QHH13-W1_bin.137.purify_k141_350325_1,other,defense,0.9965736865997314,2020_QHH13-W1_bin.137.purify_predictions.csv
2020_QHH13-W1_bin.137.purify_k141_512448_3,other,defense,0.999617338180542,2020_QHH13-W1_bin.137.purify_predictions.csv
